method,instance,validity,proximity_l1,proximity_l2,sparsity,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft
CftsCounts,0,0,47.711174265945395,5.656713595690941,0.0,0,0.0,0.9371933684205543,0.0,0.7371763307939581
CftsCounts,1,0,37.33286015325177,4.64183198187523,0.0,0,0.0,0.7873974549638675,0.0,0.8181771116983779
CftsCounts,2,0,35.08304814800221,3.8014593065028586,0.0,0,0.0,0.8520112653993532,0.0,0.803939359686292
CftsCounts,3,1,32.669148374893744,3.9288554791348687,0.0,0,0.0,0.8956262086668575,0.0,0.7946738737387463
CftsCounts,4,1,36.78841159228696,4.256834801789818,0.0,0,0.0,0.9642720640885534,0.0,0.791565257242478
CftsCounts,5,0,37.271923369548844,4.340710018261544,0.0,0,0.0,0.9120898056496358,0.0,0.763910387849103
CftsCounts,6,0,41.993252794436096,4.870127808881465,0.0,0,0.0,0.7615989017736297,0.0,0.7509752196919213
CftsCounts,7,0,41.741406971168516,5.205193189131798,0.0,0,0.0,0.9008518338899507,0.0,0.7785679062892026
CftsCounts,8,1,40.15753284091284,4.503045885760946,0.0,0,0.0,0.9108756588865016,0.0,0.779701655539013
CftsCounts,9,1,33.48330830665244,4.065621117083904,0.0,0,0.0,0.95750636467275,0.0,0.799632808860453
CftsCounts,10,1,49.49877704127407,5.634323380136078,0.0,0,0.0,0.9269600490371315,0.0,0.7829936214528531
