method,instance,validity,proximity_l1,proximity_l2,sparsity,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft
DiCE,65,1,7.078187373763388,0.6356694465554286,0.0,0,0.0,0.7872215049694841,0.0,0.9926732017868648
DiCE,66,1,6.111764097781838,0.5076029329565318,0.0,0,0.0,0.7853677715089806,0.0,0.9938199152140472
DiCE,67,1,6.057014498725914,0.4793290655103328,0.001,0,0.0,0.7510231268737505,0.0,0.9938595005683847
DiCE,68,1,7.569786790461549,0.558204901243543,0.0,0,0.0,0.792662316528496,0.0,0.9912667784373007
DiCE,69,1,9.779987140651311,0.727149286947819,0.001,0,0.0,0.7601552805330852,0.0,0.9902520417085681
DiCE,70,1,6.513454839353193,0.5069863124127334,0.0,0,0.0,0.7919434622728118,0.0,0.9932684089606897
DiCE,71,1,6.400123123910962,0.4807694832721872,0.0,0,0.0,0.7882044101248237,0.0,0.993618933089236
DiCE,72,1,5.134881604991561,0.4580378240415222,0.0,0,0.0,0.7513670380956037,0.0,0.9943334615657331
DiCE,73,1,10.53045548495369,0.700496613566007,0.0,0,0.0,0.7627047300035045,0.0,0.9892647667566323
DiCE,74,1,7.93197972070927,0.5226341237150748,0.0,0,0.0,0.7854139713952236,0.0,0.9921005185407495
DiCE,75,1,7.3761429017176265,0.6034955223737271,0.0,0,0.0,0.7667415054049521,0.0,0.9925636783342571
DiCE,76,1,6.697706537394346,0.5750841307641058,0.0,0,0.0,0.7741598231158242,0.0,0.9931461658705452
DiCE,77,1,8.365156133095216,0.49835097802177347,0.0,0,0.0,0.7858897013872611,0.0,0.9914648043059379
DiCE,78,1,6.03909031907255,0.4407603900305464,0.0,0,0.0,0.7724895047618671,0.0,0.9938662369147874
DiCE,79,1,9.637743722186556,0.6632514825718449,0.001,0,0.0,0.7914804321049163,0.0,0.9898228699912645
DiCE,80,1,9.08005972041342,0.5608049432346789,0.0,0,0.0,0.790713010245572,0.0,0.9907586872300218
DiCE,81,1,6.76739376002506,0.5129393801183304,0.0,0,0.0,0.7825577281382013,0.0,0.9930462676300388
DiCE,82,1,10.051449068680999,0.7561640430955889,0.0,0,0.0,0.7735688457370082,0.0,0.9899740603380099
DiCE,83,1,7.199232392719642,0.5332168640476536,0.001,0,0.0,0.7961893030620073,0.0,0.9926658454440227
DiCE,84,1,6.769356467326583,0.5311136107736895,0.0,0,0.0,0.7590195678239504,0.0,0.9928229227440635
DiCE,85,1,6.792837778817164,0.5490469926279801,0.0,0,0.0,0.7589781466324691,0.0,0.9931857566608134
DiCE,86,1,8.468852919848805,0.7797945952883446,0.0,0,0.0,0.7242498363433946,0.0,0.9914617562608493
DiCE,87,1,5.21975507919079,0.3961586977680335,0.0,0,0.0,0.7683523686951421,0.0,0.9941023287601426
DiCE,88,1,6.145558782603377,0.4105551903090064,0.0,0,0.0,0.7683677715881194,0.0,0.9935714630881897
DiCE,89,1,6.678259570207881,0.6353773718949357,0.0,0,0.0,0.7568258306588833,0.0,0.9930763392217206
DiCE,90,1,8.191801253832324,0.5234089254360316,0.0,0,0.0,0.7953035484753781,0.0,0.9916640454876143
DiCE,91,1,6.3368195436082395,0.45617091136540916,0.001,0,0.0,0.7850476389110335,0.0,0.9936512741302511
DiCE,92,1,6.821636435457772,0.5473468929963147,0.0,0,0.0,0.790096927627871,0.0,0.9931424149961353
DiCE,93,1,4.427479457640627,0.4333983610361726,0.0,0,0.0,0.7885467752899191,0.0,0.9955761499032821
DiCE,94,1,10.060651050470577,0.6773117354885902,0.0,0,0.0,0.7649493623523642,0.0,0.9899022867680286
