method,instance,t0,horizon,no_op,n_intervened_channels,validity,proximity_l1,proximity_l2,sparsity,ood
CftsCels,7,0,100,False,1,1.0,133.2170713318283,32.18844676015351,0.7083333333333334,0.1942805216140172
CftsCels,8,9,91,False,1,1.0,135.7892433859238,34.13275790465094,0.7,0.19439864629900544
CftsCels,9,9,91,False,1,1.0,138.25038496277145,34.431317971894444,0.7183333333333334,0.19195249301861728
CftsCels,10,2,98,False,2,1.0,282.19826416310974,40.01227548171684,0.675,0.08072083606661118
CftsCels,11,19,81,False,1,0.0,110.42522509975,32.931842260494534,0.9083333333333333,0.02081766079966363
CftsCels,12,4,96,False,1,0.0,194.27401528105858,44.04536740751081,0.8466666666666667,0.03978499100698396
CftsCels,13,22,78,False,1,0.0,24.66341653559977,17.03728903621352,0.9416666666666667,0.027028136701057415
CftsCels,14,1,99,False,1,1.0,337.488062187555,46.402774469276814,0.6333333333333333,0.05461364409558517
CftsCels,15,4,96,False,1,0.0,200.2579139108002,47.446202586506296,0.82,0.02552720178310597
CftsCels,16,6,94,False,1,0.0,238.61377270842962,54.07481248105365,0.8416666666666667,0.026353138351863814
CftsCels,17,4,96,False,1,1.0,422.929222583093,58.61227185154194,0.7,0.035474140769148454
CftsCels,18,8,92,False,1,0.0,105.32454448095112,29.150066669313464,0.885,0.0012425464665847263
CftsCels,19,2,98,False,1,1.0,329.35467858804344,49.44072728993758,0.6016666666666667,0.04531533638613916
CftsCels,20,16,84,False,1,1.0,132.60165482926968,26.255902349028364,0.5816666666666667,0.18776487290119426
CftsCels,23,2,98,False,1,1.0,146.24205868327212,26.150148294731252,0.47,0.17830964999160887
CftsCels,25,2,98,False,1,1.0,124.68225288314426,21.2872900296529,0.3466666666666667,0.182534061847484
CftsCels,26,2,98,False,1,1.0,130.89528950507815,24.767005201070713,0.49666666666666665,0.18861664045639404
CftsCels,27,4,96,False,1,1.0,179.68587607797502,25.527215456910753,0.44666666666666666,0.1589038263270081
CftsCels,28,3,97,False,1,1.0,129.08522047903264,25.945995481183036,0.525,0.18945070735987163
CftsCels,29,5,95,False,1,1.0,123.32491306561349,23.929861109725014,0.55,0.1795196346746294
