dataset,classifier,method,metric,value
full,lstm,TSCausal,trsi,1.3996979365168625
full,lstm,TSCausal,validity,1.0
full,lstm,TSCausal,validity_base,1.0
full,lstm,TSCausal,validity_shift,1.0
full,lstm,__dataset__,axis_a_LagAcc,1.0
full,lstm,__dataset__,axis_a_LagF1,1.0
full,lstm,__dataset__,axis_a_ResidualDep,0.0020434192354136377
full,lstm,__dataset__,axis_a_SHD,0.0
full,oracle,OracleCF-Pearl,cf_faith_pearl_hard,1.0
full,oracle,OracleCF-Pearl,cf_faith_pearl_hard_given_valid,1.0
full,oracle,OracleCF-Pearl,cf_faith_pearl_hard_valid,0.42
full,oracle,OracleCF-Pearl,cf_faith_pearl_soft,0.9999999933682723
full,oracle,OracleCF-Pearl,cf_faith_rollout_hard,0.0
full,oracle,OracleCF-Pearl,cf_faith_rollout_hard_given_valid,0.0
full,oracle,OracleCF-Pearl,cf_faith_rollout_hard_valid,0.0
full,oracle,OracleCF-Pearl,cf_faith_rollout_soft,0.7771616655244651
full,oracle,OracleCF-Pearl,do_complexity_mean,1.0
full,oracle,OracleCF-Pearl,do_complexity_mean_all,1.0
full,oracle,OracleCF-Pearl,do_complexity_mean_pearl_scorable,1.0
full,oracle,OracleCF-Pearl,do_complexity_median,1.0
full,oracle,OracleCF-Pearl,do_complexity_stability,1.0
full,oracle,OracleCF-Pearl,frac_degenerate,0.0
full,oracle,OracleCF-Pearl,frac_no_do_schedule,0.0
full,oracle,OracleCF-Pearl,frac_vacuous,0.0
full,oracle,OracleCF-Pearl,n,100.0
full,oracle,OracleCF-Pearl,n_cf_faith_scorable,100.0
full,oracle,OracleCF-Pearl,n_do_scorable,100.0
full,oracle,OracleCF-Pearl,ood,0.020644853458231686
full,oracle,OracleCF-Pearl,proximity_l1,29.346737573217133
full,oracle,OracleCF-Pearl,proximity_l2,3.6571302307825175
full,oracle,OracleCF-Pearl,scm_noise_plausibility,0.9748557653106673
full,oracle,OracleCF-Pearl,sparsity,0.6111000000000001
full,oracle,OracleCF-Pearl,sparsity_channels,0.09
full,oracle,OracleCF-Pearl,sparsity_timepoints,0.549
full,oracle,OracleCF-Pearl,trsi,1.5576225064954567
full,oracle,OracleCF-Pearl,validity,0.42
full,oracle,OracleCF-Rollout,cf_faith_pearl_hard,0.0
full,oracle,OracleCF-Rollout,cf_faith_pearl_hard_given_valid,0.0
full,oracle,OracleCF-Rollout,cf_faith_pearl_hard_valid,0.0
full,oracle,OracleCF-Rollout,cf_faith_pearl_soft,0.7771616656111696
full,oracle,OracleCF-Rollout,cf_faith_rollout_hard,1.0
full,oracle,OracleCF-Rollout,cf_faith_rollout_hard_given_valid,1.0
full,oracle,OracleCF-Rollout,cf_faith_rollout_hard_valid,1.0
full,oracle,OracleCF-Rollout,cf_faith_rollout_soft,0.999999997799617
full,oracle,OracleCF-Rollout,do_complexity_mean,50.0
full,oracle,OracleCF-Rollout,do_complexity_mean_all,50.0
full,oracle,OracleCF-Rollout,do_complexity_mean_pearl_scorable,50.0
full,oracle,OracleCF-Rollout,do_complexity_median,50.0
full,oracle,OracleCF-Rollout,do_complexity_stability,1.0
full,oracle,OracleCF-Rollout,frac_degenerate,0.0
full,oracle,OracleCF-Rollout,frac_no_do_schedule,0.0
full,oracle,OracleCF-Rollout,frac_vacuous,0.0
full,oracle,OracleCF-Rollout,n,100.0
full,oracle,OracleCF-Rollout,n_cf_faith_scorable,100.0
full,oracle,OracleCF-Rollout,n_do_scorable,100.0
full,oracle,OracleCF-Rollout,ood,0.05390765773172132
full,oracle,OracleCF-Rollout,proximity_l1,138.4864400060933
full,oracle,OracleCF-Rollout,proximity_l2,8.494353882145871
full,oracle,OracleCF-Rollout,scm_noise_plausibility,0.5178421939165156
full,oracle,OracleCF-Rollout,sparsity,0.5103300000000001
full,oracle,OracleCF-Rollout,sparsity_channels,0.0
full,oracle,OracleCF-Rollout,sparsity_timepoints,0.5
full,oracle,OracleCF-Rollout,trsi,1.4173018063088125
full,oracle,OracleCF-Rollout,validity,1.0
full_nl,lstm,CftsCOMTE,cf_faith_pearl_hard,0.0
full_nl,lstm,CftsCOMTE,cf_faith_pearl_hard_given_valid,0.0
full_nl,lstm,CftsCOMTE,cf_faith_pearl_hard_valid,0.0
full_nl,lstm,CftsCOMTE,cf_faith_pearl_soft,0.6945048984144832
full_nl,lstm,CftsCOMTE,cf_faith_rollout_hard,0.0
full_nl,lstm,CftsCOMTE,cf_faith_rollout_hard_given_valid,0.0
full_nl,lstm,CftsCOMTE,cf_faith_rollout_hard_valid,0.0
full_nl,lstm,CftsCOMTE,cf_faith_rollout_soft,0.6290234430143503
full_nl,lstm,CftsCOMTE,do_complexity_mean,99.99
full_nl,lstm,CftsCOMTE,do_complexity_mean_all,99.99
full_nl,lstm,CftsCOMTE,do_complexity_mean_pearl_scorable,99.99
full_nl,lstm,CftsCOMTE,do_complexity_median,100.0
full_nl,lstm,CftsCOMTE,do_complexity_stability,1.0015443967340139
full_nl,lstm,CftsCOMTE,frac_degenerate,0.0
full_nl,lstm,CftsCOMTE,frac_no_do_schedule,0.0
full_nl,lstm,CftsCOMTE,frac_vacuous,0.0
full_nl,lstm,CftsCOMTE,n,100.0
full_nl,lstm,CftsCOMTE,n_cf_faith_scorable,100.0
full_nl,lstm,CftsCOMTE,n_do_scorable,100.0
full_nl,lstm,CftsCOMTE,ood,-0.02108817896583865
full_nl,lstm,CftsCOMTE,pns_PS_A_model_proposed,1.0
full_nl,lstm,CftsCOMTE,pns_PS_B_model_oracle,0.16
full_nl,lstm,CftsCOMTE,pns_PS_C_world_oracle,0.16
full_nl,lstm,CftsCOMTE,pns_PS_delta_outcome,0.0
full_nl,lstm,CftsCOMTE,pns_PS_delta_total,0.84
full_nl,lstm,CftsCOMTE,pns_PS_delta_trajectory,0.84
full_nl,lstm,CftsCOMTE,pns_PS_do_complexity_mean,99.99
