benchmark,classifier,method,n,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,n_cf_faith_scorable,frac_degenerate,n_vacuous,frac_vacuous,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_nl,lstm,CftsCels,100,0.43,0.07220396302043479,0.05278013125689191,0.99709,0.8680000000000001,0.9838999999999999,1.2243851842811881,0.9800092336457084,0.0,0.9217323261489441,0.0,0.9964525469635206,40,0.6,57,0.57,0.0,0.0
full_nl,lstm,CftsCOMTE,100,0.99,827.6752270290679,37.138664387121665,0.21092000000000002,0.01,0.0438,0.8751920901505683,0.6901089947873079,0.0,0.7756562473218751,0.0,0.8346712520234298,99,0.010000000000000009,1,0.01,0.0,0.0
full_nl,lstm,CftsConfeti,100,0.67,58.64174639887537,3.373840368110965,0.6662599999999999,0.33,0.33030000000000004,1.373224932072687,0.8380637139641018,0.0,0.8845068362803339,0.0,0.9163826491062943,67,0.32999999999999996,33,0.33,0.0,0.0
full_nl,lstm,CftsWachter,100,0.94,166.74964277909748,8.088873593991636,0.05149000000000001,0.0,0.0271,0.9295114010186988,0.9133264731339992,0.0,0.8718623802373755,0.0,0.8423016251314652,100,0.0,0,0.0,0.0,0.0
full_nl,lstm,PearlCARLA,100,0.0,6.13835995766215e-06,3.853643107830227e-07,1.0,1.0,1.0,1.0072854464185346,0.9798730822596795,,,,,0,1.0,100,1.0,0.0,0.0
full_seed0,lstm,CARLA,50,0.0,179.69353041252037,9.576530192704096,0.25838,0.0,0.25,1.3560103328706712,0.2525700433888045,1.0,0.9999999967845702,0.0,0.7875000126800157,50,0.0,0,0.0,0.0,0.0
full_seed0,lstm,CftsCels,50,0.52,0.44738859010578325,0.2652568826776671,0.9843999999999999,0.486,0.9468000000000001,1.3369692163381472,0.973002269802233,0.0,0.8431730580342109,0.17142857142857143,0.9924973954958833,35,0.30000000000000004,15,0.3,0.0,0.0
full_seed0,lstm,CftsCOMTE,50,1.0,290.91921901785196,14.097485770147792,0.30806,0.0,0.2048,0.8451794851444003,0.41961236941818536,0.0,0.6892170222286823,0.0,0.7954006349506625,50,0.0,0,0.0,0.0,0.0
full_seed0,lstm,CftsConfeti,50,0.72,116.28202718983158,6.981910463987764,0.6418199999999998,0.28,0.2808,1.4311823307672682,0.5607646388474624,0.0,0.8038937292109642,0.0,0.8427848746741263,36,0.28,14,0.28,0.0,0.0
full_seed0,lstm,CftsWachter,50,0.98,292.42714532569494,14.62731747115178,0.032459999999999996,0.0,0.0058,1.3250900652915316,0.8572492937535672,0.0,0.7956229022216453,0.0,0.7530342983639217,50,0.0,0,0.0,0.0,0.0
full_seed0,lstm,PearlCARLA,50,0.0,3.91610588676136,0.4032619144420835,0.80718,0.31200000000000006,0.6265999999999999,1.2322898571680427,0.973345916270665,0.0,0.787500014190897,1.0,0.9999999761221443,50,0.0,0,0.0,0.0,0.0
full_nl_seed0,lstm,CARLA,50,1.0,82.47019209996422,4.190877459906538,0.30384,0.0,0.3,1.055835782708809,0.29409445011808066,1.0,0.9999999999546603,0.0,0.8905956069823334,50,0.0,50,1.0,1.0,0.0
full_nl_seed0,lstm,CftsCels,50,0.56,0.12593706987653852,0.0933490445632668,0.99464,0.79,0.9741999999999998,1.2091655791959486,0.9813796334629017,0.0,0.9192829015564735,0.0,0.9951220895457602,28,0.43999999999999995,22,0.44,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,50,1.0,93.0293324982026,4.246488673771289,0.2782,0.0,0.13520000000000001,0.578690195062803,0.7766425391938084,0.0,0.8461875528073081,0.0,0.9006996627698485,50,0.0,0,0.0,0.0,0.0
full_nl_seed0,lstm,CftsConfeti,50,0.66,54.643277922448966,3.148377711131789,0.66062,0.32,0.3204,1.3936778836697459,0.8861728151584551,0.0,0.8934743105536893,0.0,0.9232369337622464,34,0.31999999999999995,16,0.32,0.0,0.0
full_nl_seed0,lstm,CftsWachter,50,0.98,150.3002868914872,7.206779858856428,0.026879999999999998,0.0,0.008,1.0519545604954756,0.9289644625719808,0.0,0.8842500784298829,0.0,0.8609018000686034,50,0.0,0,0.0,0.0,0.0
full_nl_seed0,lstm,PearlCARLA,50,0.0,4.319223129498556e-06,2.1344095413503918e-07,1.0,1.0,1.0,1.210364666883938,0.9813468268480056,,,,,0,1.0,50,1.0,0.0,0.0
full_seed1,lstm,CARLA,50,0.64,116.99999298405527,6.435296016576229,0.41236000000000006,0.0,0.41,1.4660338673896585,0.4197102180763524,1.0,0.9999999965044105,0.0,0.8242773167562416,50,0.0,0,0.0,0.64,0.0
