benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_seed2,lstm,CARLA,48,0,130.20820886005484,6.5484889938018185,0.258,0.0,0.25,1.4863662679297116,25,0,1.0,0.9999999983484115,0.0,0.8406106820847555,0.0,0.0
full_seed2,lstm,CARLA,49,0,147.16679284396218,7.305229817774991,0.256,0.0,0.25,1.2535037247449758,25,0,1.0,0.9999999985478064,0.0,0.8218957121839102,0.0,0.0
full_seed2,lstm,CftsCels,0,0,0.005426998649972645,0.001919311641513042,0.999,0.9,0.99,1.7210436554460977,81,0,0.0,0.8357276397183238,1.0,0.9999139427801222,0.0,0.0
full_seed2,lstm,CftsCels,1,0,0.001303830856700616,0.0005829427129353445,1.0,1.0,1.0,1.753874928655597,99,1,nan,nan,nan,nan,0.0,0.0
full_seed2,lstm,CftsCels,2,0,0.01277219637021577,0.0031301347621050623,0.997,0.7,0.97,1.753599962872755,51,0,0.0,0.8346237063946239,1.0,0.9999807910947545,0.0,0.0
full_seed2,lstm,CftsCels,3,0,4.090485645678074e-06,2.1587332753241128e-07,1.0,1.0,1.0,1.4396830721879448,99,1,nan,nan,nan,nan,0.0,0.0
full_seed2,lstm,CftsCels,4,0,0.009853683194787133,0.0021566260010850123,0.999,0.9,0.99,1.7286519438636951,61,0,0.0,0.820506698127684,1.0,0.999948503696808,0.0,0.0
full_seed2,lstm,CftsCels,5,0,4.3832686387942086e-06,2.2097774773133724e-07,1.0,1.0,1.0,1.3693222176029463,99,1,nan,nan,nan,nan,0.0,0.0
full_seed2,lstm,CftsCels,6,1,0.6596953373201849,0.6048201030119152,0.988,0.2,0.95,1.0276237943689674,94,0,0.0,0.8712425663751092,0.0,0.9890342613485662,0.0,0.0
full_seed2,lstm,CftsCels,7,1,0.21331908182738718,0.1728537798334708,0.988,0.1,0.97,1.0582064877495159,96,0,0.0,0.9260065514837259,0.0,0.9949088864337972,0.0,0.0
full_seed2,lstm,CftsCels,8,0,4.262621727581955e-06,2.1108520818076845e-07,1.0,1.0,1.0,1.4344949807685121,99,1,nan,nan,nan,nan,0.0,0.0
full_seed2,lstm,CftsCels,9,0,8.994010916598652e-05,8.519033015978192e-05,1.0,1.0,1.0,2.004438317446699,99,1,nan,nan,nan,nan,0.0,0.0
full_seed2,lstm,CftsCels,10,0,0.0073716065444435555,0.0022007658486396593,0.998,0.8,0.99,1.5781702135483824,71,0,0.0,0.8486385871001078,1.0,0.9999201342294008,0.0,0.0
full_seed2,lstm,CftsCels,11,1,0.40601011305493695,0.251782129053483,0.98,0.1,0.93,1.3603170096605335,92,0,0.0,0.9007809504648645,0.0,0.9950031977257717,0.0,0.0
full_seed2,lstm,CftsCels,12,1,0.20768305923225555,0.14698576498540622,0.984,0.1,0.95,1.0315582672673045,95,0,0.0,0.8990171355110586,0.0,0.9959633426817255,0.0,0.0
