benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_nl_seed0,lstm,CftsCels,12,0,0.0023137635123244254,0.0007799653388269978,1.0,1.0,1.0,1.616093842109449,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,13,0,2.5513623259170413e-06,1.2880660236091593e-07,1.0,1.0,1.0,1.4570872104096566,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,14,0,7.897245143138627e-06,3.6347976325398063e-06,1.0,1.0,1.0,0.9223071212898688,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,15,1,0.44313450338859284,0.38860149822567747,0.992,0.6,0.95,0.9393306571859409,94,0,0.0,0.903007631685267,0.0,0.992739034265166,0.0,0.0
full_nl_seed0,lstm,CftsCels,16,0,2.4846543527586896e-06,1.263281214663343e-07,1.0,1.0,1.0,1.430377317785136,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,17,1,0.12157803460061928,0.11068730704180979,0.997,0.8,0.98,1.0000405039603995,98,0,0.0,0.9597042690212639,0.0,0.9942955129138645,0.0,0.0
full_nl_seed0,lstm,CftsCels,18,0,2.8599005135656252e-05,2.1103317359271015e-05,1.0,1.0,1.0,0.8651903200247251,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,19,1,0.49726102869245264,0.4657065997196652,0.993,0.4,0.97,1.0165179198590553,94,0,0.0,0.9016012614478842,0.0,0.9918513504645159,0.0,0.0
full_nl_seed0,lstm,CftsCels,20,1,0.13635151153944614,0.12175141816982056,0.996,0.8,0.97,1.0156870692550928,95,0,0.0,0.9124846331989843,0.0,0.9973218370070622,0.0,0.0
full_nl_seed0,lstm,CftsCels,21,0,2.7318659595321204e-06,1.356950619079601e-07,1.0,1.0,1.0,1.460064542234615,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,22,0,0.00026656376879645536,0.00023339744358361904,1.0,1.0,1.0,2.017443055654802,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,23,0,2.5177227950510823e-06,1.2344583008566804e-07,1.0,1.0,1.0,1.440255226858482,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,24,0,4.4927606500273776e-06,1.5268168207219657e-06,1.0,1.0,1.0,0.9813507917490543,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,25,1,0.23334756625241881,0.20913784133645846,0.992,0.6,0.96,1.0326619383660478,95,0,0.0,0.9096304698777542,0.0,0.9954394371272781,0.0,0.0
full_nl_seed0,lstm,CftsCels,26,0,1.2773813551093783e-05,8.481931682557332e-06,1.0,1.0,1.0,0.9683737730943368,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,27,1,0.10873484502253727,0.08857190445998388,0.996,0.8,0.97,1.0197436656415342,97,0,0.0,0.9387564213479958,0.0,0.9967667774721681,0.0,0.0
full_nl_seed0,lstm,CftsCels,28,0,2.4497933909762952e-05,1.8128526852276703e-05,1.0,1.0,1.0,0.9013780909348705,99,1,nan,nan,nan,nan,0.0,0.0
